Time (s),Mass A X (m),Mass A Y (m),Mass B X (m),Mass B Y (m)
6.600659,-0.01638976,-0.001351183,0.01715234,-0.001955667
6.633996,-0.01801052,-0.001424427,0.01905673,-0.002053453
6.667333,-0.02147289,-0.001365917,0.02244191,-0.001851305
6.700669,-0.02520652,-0.0008661001,0.02581787,-0.001343141
6.734006,-0.02777237,-0.000241574,0.02780184,-0.0008715425
6.767343,-0.02855142,-5.420848e-05,0.02787041,-0.0008150964
6.800679,-0.02708008,-0.0004317017,0.02599538,-0.0013022
6.834016,-0.02403643,-0.001063984,0.02265573,-0.001830571
6.867353,-0.02032126,-0.001400697,0.01909816,-0.002030713
6.900689,-0.01763042,-0.00138787,0.01669027,-0.001959079
6.934026,-0.01722231,-0.001386509,0.01673891,-0.001969295
6.967363,-0.01922501,-0.001462913,0.01942471,-0.002047112
7.000699,-0.02254593,-0.001236951,0.02317657,-0.001792263
7.034036,-0.02575581,-0.0007571851,0.02660285,-0.001208468
7.067373,-0.02764759,-0.0002784233,0.02840061,-0.0007071061
7.100709,-0.02765599,-0.0002788408,0.02813282,-0.0007942988
7.134046,-0.02575697,-0.0007535593,0.02580555,-0.001392695
7.167383,-0.02260194,-0.001243385,0.02214994,-0.001948578
7.200719,-0.01939557,-0.001452998,0.01849606,-0.002118622
7.234056,-0.01748223,-0.001394298,0.01632403,-0.001979865
7.267393,-0.01798941,-0.00143135,0.01682466,-0.002044025
7.300729,-0.02065285,-0.00139852,0.01968824,-0.002075243
7.334066,-0.02403722,-0.001070323,0.02345117,-0.001766305
7.367403,-0.02680861,-0.0004787609,0.02668323,-0.001164394
7.400739,-0.02795487,-0.0001427169,0.02829723,-0.0007144764
7.434076,-0.02712066,-0.0003926415,0.02781419,-0.0008474243
7.467413,-0.02449286,-0.0009363029,0.02539804,-0.001427809
7.500749,-0.02107908,-0.001391719,0.02182713,-0.001905102
7.534086,-0.01804738,-0.001436519,0.01838003,-0.002009972
7.567423,-0.01691923,-0.001364564,0.01670763,-0.001931676
7.600759,-0.01830719,-0.001452741,0.01759116,-0.001937615
7.634096,-0.02165063,-0.00134483,0.02046923,-0.001984716
7.667433,-0.0251948,-0.0008176257,0.02390661,-0.001657963
7.700769,-0.02779089,-0.0002252306,0.02659921,-0.001169596
7.734106,-0.02849548,-3.594938e-05,0.0277339,-0.0008823813
7.767443,-0.02702926,-0.0004304634,0.02685163,-0.001098186
